Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
84.17342,82.91647,73.40722,11152,-408,1.782197,30.9266,48.74267,7.64 ft,20.59129,1.476272,-2.095253,83.00153,0,LW,0,0,0,0,0,0,0,0,0,0,0,0
77.05284,78.3152,69.03604,9829,-549,0.7324646,34.42714,50.16199,20.11 ft,20.36222,-0.4114148,-3.196941,76.00189,0,LW,0,0,0,0,0,0,0,0,0,0,0,0
80.52571,77.02757,71.93306,11901,-957,-0.4992056,31.71383,50.13633,25.79 ft,20.34065,-2.997645,-4.597456,79.27554,0,LW,0,0,0,0,0,0,0,0,0,0,0,0
83.20552,80.97347,73.58663,11438,-980,0.1375629,32.58204,50.65614,14.29 ft,21.99956,-2.399702,-4.897103,81.94566,0,LW,0,0,0,0,0,0,0,0,0,0,0,0
95.02607,92.97986,79.93732,12024,146,-0.5144187,26.96709,47.49665,21.1 ft,21.32992,-0.3760064,0.695673,93.65032,0,SW,0,0,0,0,0,0,0,0,0,0,0,0
95.96129,92.76817,81.80705,12030,-483,0.6680905,30.77826,52.36267,21.78 ft,26.02313,-0.5201612,-2.299169,94.30785,0,SW,0,0,0,0,0,0,0,0,0,0,0,0
95.00462,87.8638,86.85104,13101,-297,-1.154535,30.03854,54.12558,12.49 yds,27.00953,-2.868043,-1.298674,93.17028,0,SW,0,0,0,0,0,0,0,0,0,0,0,0
104.9026,101.5027,87.37632,12058,-1118,-0.8913826,30.04973,53.30193,18.49 ft,29.28657,-5.99477,-5.297235,102.9783,0,SW,0,0,0,0,0,0,0,0,0,0,0,0
90.66065,86.16776,78.22646,12277,-257,1.234297,29.94353,50.45599,13.88 yds,22.92035,1.163754,-1.199223,89.22485,0,SW,0,0,0,0,0,0,0,0,0,0,0,0
94.67994,87.76978,80.94806,12938,-180,-0.01327638,28.43019,50.45089,12.25 yds,23.41693,-0.5755377,-0.7970765,93.11198,0,SW,0,0,0,0,0,0,0,0,0,0,0,0
119.1263,117.4384,95.29861,11550,-585,1.077731,26.96882,52.4295,8.06 ft,31.37816,-0.750351,-2.899516,116.8543,0,GW,0,0,0,0,0,0,0,0,0,0,0,0
111.8565,112.0531,90.86095,10708,-186,1.247631,29.00147,52.737,24.31 ft,30.16044,1.502088,-0.9951385,109.9114,0,GW,0,0,0,0,0,0,0,0,0,0,0,0
115.313,115.0135,93.09647,10912,-782,-1.516001,28.06824,52.1946,26.22 ft,30.69515,-6.889122,-4.09905,113.2981,0,GW,0,0,0,0,0,0,0,0,0,0,0,0
128.8452,129.8798,103.6433,10583,166,1.336647,29.0205,55.39681,10.99 yds,39.4055,4.007758,0.8986412,126.2415,0,PW,0,0,0,0,0,0,0,0,0,0,0,0
141.2193,140.053,111.0451,11627,-548,0.7219479,25.08451,54.84138,6.25 ft,40.22633,-2.04059,-2.698449,138.2222,0,PW,0,0,0,0,0,0,0,0,0,0,0,0
139.1849,138.0982,109.8773,11575,0,1.499725,25.66856,55.06424,12.33 ft,40.16391,3.562468,0,136.1168,0,PW,0,0,0,0,0,0,0,0,0,0,0,0
131.2784,132.5762,102.8504,10492,-513,-0.505536,25.90615,53.0485,26.36 ft,34.88827,-4.448067,-2.799213,128.7981,0,PW,0,0,0,0,0,0,0,0,0,0,0,0
